,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,3615,3617,0.0184,1.0000,0.5067,0.1048,0.0030
1,lira,0,class,0,2169,2170,0.0200,1.0000,0.5001,0.0987,0.0018
2,lira,0,class,1,1446,1447,0.0329,1.0000,0.5156,0.1141,0.0041
3,lira,1,Entire dataset,,3615,3617,0.0263,0.6538,0.5144,0.1165,0.0008
4,lira,1,class,0,2169,2170,0.0251,0.8750,0.5113,0.1134,0.0032
5,lira,1,class,1,1446,1447,0.0440,0.7500,0.5181,0.1003,0.0007
6,lira,2,Entire dataset,,3615,3617,0.0185,0.5833,0.5056,0.0979,0.0003
7,lira,2,class,0,2169,2170,0.0304,1.0000,0.5092,0.0991,0.0014
8,lira,2,class,1,1446,1447,0.0158,0.5169,0.5004,0.0996,0.0000
9,lira,3,Entire dataset,,3615,3617,0.0256,0.8000,0.5082,0.0910,0.0019
10,lira,3,class,0,2169,2170,0.0233,0.6154,0.5028,0.0839,0.0009
11,lira,3,class,1,1446,1447,0.0329,1.0000,0.5167,0.1024,0.0028
12,lira,4,Entire dataset,,3615,3617,0.0255,0.6667,0.5101,0.1071,0.0008
13,lira,4,class,0,2169,2170,0.0344,0.6538,0.5081,0.1033,0.0000
14,lira,4,class,1,1446,1447,0.0341,0.7500,0.5133,0.1134,0.0000
15,lira,5,Entire dataset,,3615,3617,0.0293,0.6316,0.5170,0.1162,0.0003
16,lira,5,class,0,2169,2170,0.0238,0.6000,0.5059,0.1074,0.0000
17,lira,5,class,1,1446,1447,0.0523,0.6429,0.5325,0.1231,0.0000
18,lira,6,Entire dataset,,3615,3617,0.0164,0.6667,0.5006,0.1073,0.0011
19,lira,6,class,0,2169,2170,0.0270,0.7500,0.4998,0.1079,0.0014
20,lira,6,class,1,1446,1447,0.0193,0.6500,0.5012,0.1003,0.0007
21,lira,7,Entire dataset,,3615,3617,0.0150,0.8000,0.5036,0.1010,0.0011
22,lira,7,class,0,2169,2170,0.0190,0.5290,0.4979,0.0996,0.0005
23,lira,7,class,1,1446,1447,0.0361,1.0000,0.5118,0.1079,0.0028
24,lira,8,Entire dataset,,3615,3617,0.0157,0.5789,0.4992,0.1007,0.0008
25,lira,8,class,0,2169,2170,0.0217,0.6000,0.4972,0.0987,0.0005
26,lira,8,class,1,1446,1447,0.0201,0.6757,0.5022,0.1120,0.0000
27,lira,9,Entire dataset,,3615,3617,0.0166,0.6176,0.5005,0.0971,0.0003
