,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,3615,3617,0.0456,0.6667,0.5243,0.1129,0.0017
1,lira,0,class,0,2169,2170,0.0321,0.6250,0.5157,0.1070,0.0009
2,lira,0,class,1,1446,1447,0.0854,1.0000,0.5384,0.1127,0.0021
3,lira,1,Entire dataset,,3615,3617,0.0590,0.6800,0.5383,0.1253,0.0006
4,lira,1,class,0,2169,2170,0.0522,0.7778,0.5300,0.1319,0.0009
5,lira,1,class,1,1446,1447,0.0931,0.6393,0.5529,0.1176,0.0000
6,lira,2,Entire dataset,,3615,3617,0.0364,0.7333,0.5222,0.1148,0.0014
7,lira,2,class,0,2169,2170,0.0336,0.6429,0.5175,0.1162,0.0009
8,lira,2,class,1,1446,1447,0.0633,0.7143,0.5294,0.1335,0.0007
9,lira,3,Entire dataset,,3615,3617,0.0554,0.8750,0.5368,0.1225,0.0039
10,lira,3,class,0,2169,2170,0.0469,1.0000,0.5235,0.1134,0.0018
11,lira,3,class,1,1446,1447,0.0874,0.8333,0.5552,0.1328,0.0000
12,lira,4,Entire dataset,,3615,3617,0.0655,1.0000,0.5376,0.1250,0.0017
13,lira,4,class,0,2169,2170,0.0541,0.7143,0.5311,0.1185,0.0009
14,lira,4,class,1,1446,1447,0.0861,1.0000,0.5464,0.1335,0.0028
15,lira,5,Entire dataset,,3615,3617,0.0639,1.0000,0.5375,0.1231,0.0022
16,lira,5,class,0,2169,2170,0.0481,0.8000,0.5266,0.1259,0.0018
17,lira,5,class,1,1446,1447,0.0959,1.0000,0.5547,0.1189,0.0000
18,lira,6,Entire dataset,,3615,3617,0.0503,0.8750,0.5343,0.1195,0.0033
19,lira,6,class,0,2169,2170,0.0376,0.7500,0.5188,0.1166,0.0005
20,lira,6,class,1,1446,1447,0.0883,0.8750,0.5562,0.1286,0.0007
21,lira,7,Entire dataset,,3615,3617,0.0747,0.7200,0.5447,0.1284,0.0008
