,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,29997,30003,0.0539,1.0000,0.5446,0.1389,0.0197
1,lira,0,class,0,2961,2962,0.0323,1.0000,0.5200,0.1114,0.0135
2,lira,0,class,1,3371,3371,0.0338,1.0000,0.5231,0.1287,0.0062
3,lira,0,class,2,2979,2979,0.0739,1.0000,0.5558,0.1541,0.0359
4,lira,0,class,3,3065,3066,0.0737,1.0000,0.5518,0.1465,0.0147
5,lira,0,class,4,2921,2921,0.0603,1.0000,0.5397,0.1359,0.0120
6,lira,0,class,5,2710,2711,0.0792,1.0000,0.5573,0.1517,0.0269
7,lira,0,class,6,2959,2959,0.0727,1.0000,0.5453,0.1163,0.0189
8,lira,0,class,7,3132,3133,0.0640,1.0000,0.5469,0.1376,0.0150
9,lira,0,class,8,2925,2926,0.0726,1.0000,0.5540,0.1501,0.0232
10,lira,0,class,9,2974,2975,0.0728,1.0000,0.5547,0.1459,0.0259
11,lira,1,Entire dataset,,29997,30003,0.0549,1.0000,0.5463,0.1390,0.0163
12,lira,1,class,0,2961,2962,0.0488,1.0000,0.5289,0.1256,0.0122
13,lira,1,class,1,3371,3371,0.0400,1.0000,0.5179,0.1020,0.0133
14,lira,1,class,2,2979,2979,0.0990,1.0000,0.5791,0.1692,0.0134
15,lira,1,class,3,3065,3066,0.0798,1.0000,0.5578,0.1527,0.0124
16,lira,1,class,4,2921,2921,0.0599,1.0000,0.5411,0.1277,0.0151
17,lira,1,class,5,2710,2711,0.0832,1.0000,0.5605,0.1550,0.0255
18,lira,1,class,6,2959,2959,0.0673,1.0000,0.5479,0.1325,0.0128
19,lira,1,class,7,3132,3133,0.0478,1.0000,0.5320,0.1296,0.0140
20,lira,1,class,8,2925,2926,0.0628,1.0000,0.5497,0.1511,0.0178
21,lira,1,class,9,2974,2975,0.0680,1.0000,0.5530,0.1553,0.0138
22,lira,2,Entire dataset,,29997,30003,0.0503,1.0000,0.5431,0.1399,0.0199
23,lira,2,class,0,2961,2962,0.0372,1.0000,0.5191,0.1293,0.0155
24,lira,2,class,1,3371,3371,0.0454,1.0000,0.5276,0.1293,0.0077
25,lira,2,class,2,2979,2979,0.0859,1.0000,0.5643,0.1678,0.0309
26,lira,2,class,3,3065,3066,0.0574,1.0000,0.5437,0.1413,0.0173
27,lira,2,class,4,2921,2921,0.0572,1.0000,0.5398,0.1167,0.0127
28,lira,2,class,5,2710,2711,0.0803,1.0000,0.5579,0.1450,0.0255
29,lira,2,class,6,2959,2959,0.0514,1.0000,0.5383,0.1348,0.0145
30,lira,2,class,7,3132,3133,0.0577,1.0000,0.5372,0.1312,0.0185
31,lira,2,class,8,2925,2926,0.0772,1.0000,0.5516,0.1443,0.0267
32,lira,2,class,9,2974,2975,0.0688,1.0000,0.5531,0.1503,0.0232
33,lira,3,Entire dataset,,29997,30003,0.0509,1.0000,0.5430,0.1398,0.0193
34,lira,3,class,0,2961,2962,0.0447,1.0000,0.5283,0.1263,0.0138
35,lira,3,class,1,3371,3371,0.0489,1.0000,0.5323,0.1284,0.0095
36,lira,3,class,2,2979,2979,0.0806,1.0000,0.5612,0.1568,0.0225
37,lira,3,class,3,3065,3066,0.0500,1.0000,0.5331,0.1419,0.0189
38,lira,3,class,4,2921,2921,0.0407,1.0000,0.5313,0.1308,0.0164
39,lira,3,class,5,2710,2711,0.0825,1.0000,0.5589,0.1546,0.0251
40,lira,3,class,6,2959,2959,0.0608,1.0000,0.5425,0.1348,0.0169
41,lira,3,class,7,3132,3133,0.0418,1.0000,0.5296,0.1280,0.0163
42,lira,3,class,8,2925,2926,0.0856,1.0000,0.5658,0.1497,0.0212
43,lira,3,class,9,2974,2975,0.0803,1.0000,0.5513,0.1395,0.0266
44,lira,4,Entire dataset,,29997,30003,0.0526,1.0000,0.5428,0.1399,0.0183
45,lira,4,class,0,2961,2962,0.0504,1.0000,0.5296,0.1358,0.0115
46,lira,4,class,1,3371,3371,0.0412,1.0000,0.5212,0.1329,0.0098
47,lira,4,class,2,2979,2979,0.0681,1.0000,0.5542,0.1631,0.0195
48,lira,4,class,3,3065,3066,0.0652,1.0000,0.5455,0.1419,0.0140
49,lira,4,class,4,2921,2921,0.0596,1.0000,0.5428,0.1280,0.0144
50,lira,4,class,5,2710,2711,0.0890,1.0000,0.5661,0.1583,0.0188
51,lira,4,class,6,2959,2959,0.0514,1.0000,0.5352,0.1386,0.0193
52,lira,4,class,7,3132,3133,0.0412,1.0000,0.5312,0.1248,0.0121
53,lira,4,class,8,2925,2926,0.0669,1.0000,0.5522,0.1474,0.0209
54,lira,4,class,9,2974,2975,0.0784,1.0000,0.5552,0.1352,0.0256
55,lira,5,Entire dataset,,29997,30003,0.0553,1.0000,0.5455,0.1367,0.0191
56,lira,5,class,0,2961,2962,0.0441,1.0000,0.5281,0.1270,0.0095
57,lira,5,class,1,3371,3371,0.0258,1.0000,0.5131,0.1163,0.0098
58,lira,5,class,2,2979,2979,0.0886,1.0000,0.5737,0.1776,0.0285
59,lira,5,class,3,3065,3066,0.0709,1.0000,0.5469,0.1400,0.0147
60,lira,5,class,4,2921,2921,0.0630,1.0000,0.5401,0.1274,0.0103
61,lira,5,class,5,2710,2711,0.0891,1.0000,0.5691,0.1502,0.0295
62,lira,5,class,6,2959,2959,0.0622,1.0000,0.5412,0.1227,0.0135
63,lira,5,class,7,3132,3133,0.0550,1.0000,0.5351,0.1242,0.0160
64,lira,5,class,8,2925,2926,0.0870,1.0000,0.5603,0.1333,0.0318
65,lira,5,class,9,2974,2975,0.0793,1.0000,0.5534,0.1530,0.0151
66,lira,6,Entire dataset,,29997,30003,0.0487,1.0000,0.5421,0.1400,0.0193
67,lira,6,class,0,2961,2962,0.0331,1.0000,0.5180,0.1263,0.0078
68,lira,6,class,1,3371,3371,0.0350,1.0000,0.5230,0.1222,0.0036
69,lira,6,class,2,2979,2979,0.0762,1.0000,0.5611,0.1594,0.0336
70,lira,6,class,3,3065,3066,0.0545,1.0000,0.5424,0.1478,0.0147
71,lira,6,class,4,2921,2921,0.0572,1.0000,0.5410,0.1291,0.0157
72,lira,6,class,5,2710,2711,0.0707,1.0000,0.5540,0.1557,0.0218
73,lira,6,class,6,2959,2959,0.0551,1.0000,0.5404,0.1514,0.0179
74,lira,6,class,7,3132,3133,0.0491,1.0000,0.5346,0.1303,0.0166
75,lira,6,class,8,2925,2926,0.0809,1.0000,0.5616,0.1381,0.0239
76,lira,6,class,9,2974,2975,0.0683,1.0000,0.5491,0.1574,0.0249
77,lira,7,Entire dataset,,29997,30003,0.0519,1.0000,0.5398,0.1317,0.0187
78,lira,7,class,0,2961,2962,0.0243,1.0000,0.5110,0.1104,0.0091
79,lira,7,class,1,3371,3371,0.0294,1.0000,0.5182,0.1234,0.0083
80,lira,7,class,2,2979,2979,0.1014,1.0000,0.5748,0.1648,0.0225
81,lira,7,class,3,3065,3066,0.0571,1.0000,0.5404,0.1276,0.0189
82,lira,7,class,4,2921,2921,0.0404,1.0000,0.5257,0.1219,0.0164
