,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,36625,36632,0.2747,1.0000,0.7168,0.3249,0.0866
1,lira,0,class,0,2474,2474,0.2769,1.0000,0.7123,0.3185,0.0627
2,lira,0,class,1,6930,6931,0.2001,1.0000,0.6560,0.2440,0.0499
3,lira,0,class,2,5292,5293,0.2185,1.0000,0.6751,0.2778,0.0754
4,lira,0,class,3,4248,4249,0.3560,1.0000,0.7676,0.3960,0.1026
5,lira,0,class,4,3729,3729,0.2108,1.0000,0.6718,0.2805,0.0609
6,lira,0,class,5,3441,3441,0.3368,1.0000,0.7557,0.3824,0.0840
7,lira,0,class,6,2863,2864,0.3739,1.0000,0.7790,0.4048,0.1268
8,lira,0,class,7,2797,2798,0.2648,1.0000,0.7073,0.3139,0.0790
9,lira,0,class,8,2522,2523,0.3701,1.0000,0.7775,0.4148,0.1269
10,lira,0,class,9,2329,2330,0.3471,1.0000,0.7562,0.3577,0.1318
11,lira,1,Entire dataset,,36625,36632,0.2741,1.0000,0.7165,0.3247,0.0926
12,lira,1,class,0,2474,2474,0.2720,1.0000,0.7099,0.3197,0.0740
13,lira,1,class,1,6930,6931,0.2098,1.0000,0.6657,0.2616,0.0612
14,lira,1,class,2,5292,5293,0.2015,1.0000,0.6654,0.2697,0.0620
15,lira,1,class,3,4248,4249,0.3464,1.0000,0.7623,0.3889,0.1078
16,lira,1,class,4,3729,3729,0.2293,1.0000,0.6762,0.2692,0.0778
17,lira,1,class,5,3441,3441,0.3249,1.0000,0.7458,0.3577,0.0907
18,lira,1,class,6,2863,2864,0.3596,1.0000,0.7745,0.4108,0.1065
19,lira,1,class,7,2797,2798,0.2905,1.0000,0.7219,0.3164,0.0801
20,lira,1,class,8,2522,2523,0.3701,1.0000,0.7749,0.4151,0.1515
21,lira,1,class,9,2329,2330,0.3380,1.0000,0.7569,0.3701,0.1249
22,lira,2,Entire dataset,,36625,36632,0.2653,1.0000,0.7120,0.3242,0.0846
23,lira,2,class,0,2474,2474,0.2635,1.0000,0.7077,0.3310,0.0930
24,lira,2,class,1,6930,6931,0.1867,1.0000,0.6504,0.2453,0.0455
25,lira,2,class,2,5292,5293,0.2018,1.0000,0.6611,0.2594,0.0769
26,lira,2,class,3,4248,4249,0.3553,1.0000,0.7714,0.4061,0.1069
27,lira,2,class,4,3729,3729,0.2245,1.0000,0.6777,0.2821,0.0705
28,lira,2,class,5,3441,3441,0.3359,1.0000,0.7517,0.3729,0.0898
29,lira,2,class,6,2863,2864,0.3484,1.0000,0.7608,0.3867,0.1177
30,lira,2,class,7,2797,2798,0.2472,1.0000,0.6940,0.2985,0.0769
31,lira,2,class,8,2522,2523,0.3685,1.0000,0.7811,0.4310,0.1190
32,lira,2,class,9,2329,2330,0.3355,1.0000,0.7527,0.3830,0.1138
33,lira,3,Entire dataset,,36625,36632,0.2658,1.0000,0.7125,0.3231,0.0941
34,lira,3,class,0,2474,2474,0.2591,1.0000,0.7030,0.3197,0.0703
35,lira,3,class,1,6930,6931,0.1986,1.0000,0.6572,0.2506,0.0600
36,lira,3,class,2,5292,5293,0.2061,1.0000,0.6644,0.2672,0.0650
37,lira,3,class,3,4248,4249,0.3461,1.0000,0.7649,0.4002,0.0986
38,lira,3,class,4,3729,3729,0.2304,1.0000,0.6810,0.2859,0.1054
39,lira,3,class,5,3441,3441,0.3296,1.0000,0.7495,0.3688,0.0462
40,lira,3,class,6,2863,2864,0.3540,1.0000,0.7712,0.4024,0.1334
41,lira,3,class,7,2797,2798,0.2561,1.0000,0.7012,0.3046,0.0987
42,lira,3,class,8,2522,2523,0.3475,1.0000,0.7664,0.4104,0.1336
43,lira,3,class,9,2329,2330,0.3209,1.0000,0.7500,0.3710,0.1155
44,lira,4,Entire dataset,,36625,36632,0.2726,1.0000,0.7178,0.3299,0.0955
45,lira,4,class,0,2474,2474,0.2623,1.0000,0.7002,0.3048,0.0736
46,lira,4,class,1,6930,6931,0.2043,1.0000,0.6643,0.2548,0.0545
47,lira,4,class,2,5292,5293,0.2149,1.0000,0.6734,0.2795,0.0845
48,lira,4,class,3,4248,4249,0.3589,1.0000,0.7681,0.3985,0.1052
49,lira,4,class,4,3729,3729,0.2322,1.0000,0.6818,0.2818,0.0772
50,lira,4,class,5,3441,3441,0.3429,1.0000,0.7571,0.3729,0.0846
51,lira,4,class,6,2863,2864,0.3638,1.0000,0.7782,0.4300,0.1488
52,lira,4,class,7,2797,2798,0.2587,1.0000,0.7063,0.3100,0.1073
53,lira,4,class,8,2522,2523,0.3567,1.0000,0.7714,0.4223,0.1213
54,lira,4,class,9,2329,2330,0.3282,1.0000,0.7546,0.3736,0.1056
55,lira,5,Entire dataset,,36625,36632,0.2736,1.0000,0.7167,0.3246,0.0917
56,lira,5,class,0,2474,2474,0.2866,1.0000,0.7174,0.3213,0.0784
57,lira,5,class,1,6930,6931,0.2032,1.0000,0.6607,0.2395,0.0495
58,lira,5,class,2,5292,5293,0.2133,1.0000,0.6689,0.2714,0.0760
59,lira,5,class,3,4248,4249,0.3680,1.0000,0.7765,0.4113,0.1123
60,lira,5,class,4,3729,3729,0.2127,1.0000,0.6712,0.2706,0.0598
61,lira,5,class,5,3441,3441,0.3484,1.0000,0.7579,0.3723,0.1090
62,lira,5,class,6,2863,2864,0.3481,1.0000,0.7685,0.4097,0.1236
63,lira,5,class,7,2797,2798,0.2669,1.0000,0.7094,0.3371,0.0837
64,lira,5,class,8,2522,2523,0.3701,1.0000,0.7748,0.3961,0.1352
65,lira,5,class,9,2329,2330,0.3179,1.0000,0.7460,0.3641,0.1353
66,lira,6,Entire dataset,,36625,36632,0.2753,1.0000,0.7179,0.3303,0.0962
67,lira,6,class,0,2474,2474,0.2619,1.0000,0.7036,0.3242,0.1019
68,lira,6,class,1,6930,6931,0.2070,1.0000,0.6613,0.2554,0.0589
69,lira,6,class,2,5292,5293,0.2028,1.0000,0.6648,0.2632,0.0546
70,lira,6,class,3,4248,4249,0.3614,1.0000,0.7721,0.4040,0.1189
71,lira,6,class,4,3729,3729,0.2266,1.0000,0.6798,0.2832,0.0703
72,lira,6,class,5,3441,3441,0.3298,1.0000,0.7566,0.3871,0.1037
73,lira,6,class,6,2863,2864,0.3753,1.0000,0.7792,0.4237,0.1030
74,lira,6,class,7,2797,2798,0.2948,1.0000,0.7175,0.3228,0.1033
75,lira,6,class,8,2522,2523,0.3689,1.0000,0.7798,0.4274,0.1860
76,lira,6,class,9,2329,2330,0.3385,1.0000,0.7517,0.3534,0.1408
77,lira,7,Entire dataset,,36625,36632,0.2696,1.0000,0.7149,0.3229,0.0967
78,lira,7,class,0,2474,2474,0.2462,1.0000,0.6901,0.2805,0.0776
79,lira,7,class,1,6930,6931,0.2061,1.0000,0.6629,0.2602,0.0505
80,lira,7,class,2,5292,5293,0.2116,1.0000,0.6649,0.2591,0.0631
81,lira,7,class,3,4248,4249,0.3515,1.0000,0.7650,0.3901,0.1031
82,lira,7,class,4,3729,3729,0.2365,1.0000,0.6839,0.2816,0.0904
83,lira,7,class,5,3441,3441,0.3336,1.0000,0.7533,0.3737,0.1128
84,lira,7,class,6,2863,2864,0.3484,1.0000,0.7682,0.3978,0.1457
85,lira,7,class,7,2797,2798,0.2676,1.0000,0.7127,0.3196,0.1176
86,lira,7,class,8,2522,2523,0.3530,1.0000,0.7711,0.4120,0.1273
87,lira,7,class,9,2329,2330,0.3296,1.0000,0.7567,0.3860,0.0872
88,lira,8,Entire dataset,,36625,36632,0.2768,1.0000,0.7194,0.3341,0.0958
89,lira,8,class,0,2474,2474,0.2906,1.0000,0.7161,0.3464,0.0873
90,lira,8,class,1,6930,6931,0.2131,1.0000,0.6672,0.2557,0.0600
91,lira,8,class,2,5292,5293,0.2187,1.0000,0.6711,0.2695,0.0796
92,lira,8,class,3,4248,4249,0.3615,1.0000,0.7736,0.4094,0.1316
93,lira,8,class,4,3729,3729,0.2237,1.0000,0.6789,0.2880,0.0772
94,lira,8,class,5,3441,3441,0.3203,1.0000,0.7469,0.3769,0.1008
95,lira,8,class,6,2863,2864,0.3627,1.0000,0.7750,0.4125,0.1107
96,lira,8,class,7,2797,2798,0.2733,1.0000,0.7139,0.3325,0.1019
97,lira,8,class,8,2522,2523,0.3765,1.0000,0.7822,0.4211,0.1138
98,lira,8,class,9,2329,2330,0.3420,1.0000,0.7542,0.3761,0.1164
99,lira,9,Entire dataset,,36625,36632,0.2818,1.0000,0.7208,0.3286,0.0895
100,lira,9,class,0,2474,2474,0.2765,1.0000,0.7111,0.3213,0.0800
101,lira,9,class,1,6930,6931,0.2031,1.0000,0.6586,0.2589,0.0577
102,lira,9,class,2,5292,5293,0.2272,1.0000,0.6797,0.2774,0.0773
103,lira,9,class,3,4248,4249,0.3638,1.0000,0.7714,0.3962,0.0897
104,lira,9,class,4,3729,3729,0.2322,1.0000,0.6817,0.2757,0.0673
105,lira,9,class,5,3441,3441,0.3351,1.0000,0.7515,0.3601,0.1026
106,lira,9,class,6,2863,2864,0.3648,1.0000,0.7761,0.4209,0.1111
107,lira,9,class,7,2797,2798,0.2784,1.0000,0.7106,0.3003,0.0997
108,lira,9,class,8,2522,2523,0.3983,1.0000,0.7879,0.4175,0.1491
109,lira,9,class,9,2329,2330,0.3668,1.0000,0.7713,0.4032,0.1052
110,lira,10,Entire dataset,,36625,36632,0.2727,1.0000,0.7161,0.3273,0.0956
111,lira,10,class,0,2474,2474,0.2825,1.0000,0.7086,0.2979,0.0926
112,lira,10,class,1,6930,6931,0.1992,1.0000,0.6583,0.2563,0.0551
113,lira,10,class,2,5292,5293,0.2201,1.0000,0.6708,0.2734,0.0622
114,lira,10,class,3,4248,4249,0.3598,1.0000,0.7720,0.3955,0.1410
115,lira,10,class,4,3729,3729,0.2172,1.0000,0.6753,0.2888,0.0845
116,lira,10,class,5,3441,3441,0.3319,1.0000,0.7539,0.3688,0.0869
117,lira,10,class,6,2863,2864,0.3525,1.0000,0.7697,0.4191,0.1275
118,lira,10,class,7,2797,2798,0.2698,1.0000,0.7095,0.3114,0.0937
119,lira,10,class,8,2522,2523,0.3555,1.0000,0.7721,0.4116,0.1420
120,lira,10,class,9,2329,2330,0.3398,1.0000,0.7572,0.3899,0.0996
121,lira,11,Entire dataset,,36625,36632,0.2833,1.0000,0.7191,0.3230,0.0914
122,lira,11,class,0,2474,2474,0.2664,1.0000,0.7049,0.3023,0.0659
123,lira,11,class,1,6930,6931,0.2175,1.0000,0.6678,0.2508,0.0566
124,lira,11,class,2,5292,5293,0.2284,1.0000,0.6771,0.2721,0.0780
125,lira,11,class,3,4248,4249,0.3697,1.0000,0.7704,0.3943,0.1102
126,lira,11,class,4,3729,3729,0.2140,1.0000,0.6709,0.2647,0.0657
127,lira,11,class,5,3441,3441,0.3397,1.0000,0.7579,0.3856,0.0846
128,lira,11,class,6,2863,2864,0.3589,1.0000,0.7709,0.4020,0.1156
129,lira,11,class,7,2797,2798,0.2744,1.0000,0.7067,0.3000,0.0554
130,lira,11,class,8,2522,2523,0.3907,1.0000,0.7858,0.4104,0.1939
131,lira,11,class,9,2329,2330,0.3330,1.0000,0.7552,0.3744,0.1030
132,lira,12,Entire dataset,,36625,36632,0.2740,1.0000,0.7177,0.3282,0.0928
133,lira,12,class,0,2474,2474,0.2494,1.0000,0.6947,0.3023,0.0711
134,lira,12,class,1,6930,6931,0.1942,1.0000,0.6548,0.2479,0.0496
135,lira,12,class,2,5292,5293,0.2110,1.0000,0.6698,0.2632,0.0608
136,lira,12,class,3,4248,4249,0.3673,1.0000,0.7776,0.4113,0.1271
137,lira,12,class,4,3729,3729,0.2153,1.0000,0.6716,0.2776,0.0842
138,lira,12,class,5,3441,3441,0.3345,1.0000,0.7567,0.3650,0.1017
139,lira,12,class,6,2863,2864,0.3791,1.0000,0.7804,0.4160,0.1327
140,lira,12,class,7,2797,2798,0.2569,1.0000,0.7047,0.3193,0.0997
141,lira,12,class,8,2522,2523,0.3951,1.0000,0.7930,0.4346,0.1190
142,lira,12,class,9,2329,2330,0.3449,1.0000,0.7624,0.4006,0.1176
143,lira,13,Entire dataset,,36625,36632,0.2708,1.0000,0.7146,0.3260,0.0944
144,lira,13,class,0,2474,2474,0.2741,1.0000,0.7108,0.3222,0.0914
145,lira,13,class,1,6930,6931,0.2002,1.0000,0.6556,0.2483,0.0482
146,lira,13,class,2,5292,5293,0.2195,1.0000,0.6715,0.2748,0.0724
147,lira,13,class,3,4248,4249,0.3589,1.0000,0.7707,0.3988,0.1005
148,lira,13,class,4,3729,3729,0.2148,1.0000,0.6732,0.2663,0.0689
149,lira,13,class,5,3441,3441,0.3461,1.0000,0.7619,0.3839,0.1064
150,lira,13,class,6,2863,2864,0.3400,1.0000,0.7617,0.4059,0.1439
151,lira,13,class,7,2797,2798,0.2655,1.0000,0.7015,0.3093,0.0947
152,lira,13,class,8,2522,2523,0.3701,1.0000,0.7794,0.4262,0.1538
