,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,25000,25000,0.0298,0.5763,0.5209,0.1124,0.0010
1,lira,0,class,0,2500,2500,0.0408,0.5750,0.5266,0.1136,0.0008
2,lira,0,class,1,2500,2500,0.0364,0.7500,0.5172,0.1092,0.0012
3,lira,0,class,2,2500,2500,0.0396,0.6122,0.5188,0.1144,0.0008
4,lira,0,class,3,2500,2500,0.0504,0.5391,0.5250,0.1092,0.0008
5,lira,0,class,4,2500,2500,0.0280,1.0000,0.5125,0.1044,0.0032
6,lira,0,class,5,2500,2500,0.0424,0.6250,0.5226,0.1204,0.0000
7,lira,0,class,6,2500,2500,0.0556,1.0000,0.5338,0.1388,0.0012
8,lira,0,class,7,2500,2500,0.0152,0.6415,0.5064,0.1032,0.0004
9,lira,0,class,8,2500,2500,0.0476,0.6000,0.5244,0.1044,0.0000
10,lira,0,class,9,2500,2500,0.0500,1.0000,0.5238,0.1096,0.0012
11,lira,1,Entire dataset,,25000,25000,0.0280,0.5271,0.5165,0.1065,0.0006
12,lira,1,class,0,2500,2500,0.0396,0.7500,0.5239,0.1084,0.0004
13,lira,1,class,1,2500,2500,0.0216,0.5138,0.5015,0.1016,0.0000
14,lira,1,class,2,2500,2500,0.0536,0.6250,0.5276,0.1172,0.0004
15,lira,1,class,3,2500,2500,0.0268,0.8000,0.5079,0.1040,0.0020
16,lira,1,class,4,2500,2500,0.0576,0.7500,0.5334,0.1104,0.0000
17,lira,1,class,5,2500,2500,0.0384,0.5629,0.5202,0.1140,0.0004
18,lira,1,class,6,2500,2500,0.0264,0.6000,0.5088,0.0920,0.0004
19,lira,1,class,7,2500,2500,0.0196,0.5784,0.5088,0.1032,0.0004
20,lira,1,class,8,2500,2500,0.0208,1.0000,0.5080,0.1084,0.0024
21,lira,1,class,9,2500,2500,0.0548,0.5337,0.5266,0.1000,0.0000
22,lira,2,Entire dataset,,25000,25000,0.0297,0.5685,0.5188,0.1126,0.0010
23,lira,2,class,0,2500,2500,0.0296,0.6250,0.5121,0.1088,0.0008
24,lira,2,class,1,2500,2500,0.0420,0.7500,0.5214,0.1132,0.0012
25,lira,2,class,2,2500,2500,0.0416,0.7778,0.5226,0.1108,0.0028
26,lira,2,class,3,2500,2500,0.0312,1.0000,0.5115,0.1072,0.0012
27,lira,2,class,4,2500,2500,0.0444,0.5848,0.5219,0.1196,0.0008
28,lira,2,class,5,2500,2500,0.0496,0.6667,0.5299,0.1184,0.0008
29,lira,2,class,6,2500,2500,0.0564,0.8000,0.5282,0.1228,0.0024
30,lira,2,class,7,2500,2500,0.0240,0.5862,0.5087,0.1116,0.0000
31,lira,2,class,8,2500,2500,0.0216,0.5112,0.5056,0.0912,0.0004
32,lira,2,class,9,2500,2500,0.0492,0.7188,0.5268,0.1192,0.0012
33,lira,3,Entire dataset,,25000,25000,0.0194,0.5800,0.5117,0.1040,0.0012
34,lira,3,class,0,2500,2500,0.0380,0.7500,0.5222,0.1012,0.0008
