,dataset,attack type,AUC,fpr@0.1,fpr@0.001
mean Entire dataset,cifar10,lira,0.5007,0.1010,0.0010
mean CLASS=0,cifar10,lira,0.5031,0.1021,0.0009
mean CLASS=1,cifar10,lira,0.5002,0.1007,0.0010
mean CLASS=2,cifar10,lira,0.5005,0.1000,0.0009
mean CLASS=3,cifar10,lira,0.5012,0.1034,0.0008
mean CLASS=4,cifar10,lira,0.4989,0.1020,0.0010
mean CLASS=5,cifar10,lira,0.5012,0.1006,0.0009
mean CLASS=6,cifar10,lira,0.5003,0.1010,0.0010
mean CLASS=7,cifar10,lira,0.4995,0.0989,0.0008
mean CLASS=8,cifar10,lira,0.5018,0.1010,0.0009
mean CLASS=9,cifar10,lira,0.5002,0.0976,0.0013
std Entire dataset,cifar10,lira,0.0027,0.0034,0.0003
std CLASS=0,cifar10,lira,0.0083,0.0088,0.0009
std CLASS=1,cifar10,lira,0.0103,0.0116,0.0008
std CLASS=2,cifar10,lira,0.0072,0.0089,0.0010
std CLASS=3,cifar10,lira,0.0086,0.0091,0.0008
std CLASS=4,cifar10,lira,0.0075,0.0088,0.0009
std CLASS=5,cifar10,lira,0.0080,0.0084,0.0008
std CLASS=6,cifar10,lira,0.0065,0.0067,0.0008
std CLASS=7,cifar10,lira,0.0069,0.0072,0.0007
std CLASS=8,cifar10,lira,0.0086,0.0086,0.0008
std CLASS=9,cifar10,lira,0.0061,0.0077,0.0015
max Entire dataset,cifar10,lira,0.5071,0.1096,0.0017
max CLASS=0,cifar10,lira,0.5168,0.1136,0.0032
max CLASS=1,cifar10,lira,0.5228,0.1428,0.0036
max CLASS=2,cifar10,lira,0.5165,0.1188,0.0036
max CLASS=3,cifar10,lira,0.5133,0.1220,0.0040
max CLASS=4,cifar10,lira,0.5137,0.1220,0.0036
max CLASS=5,cifar10,lira,0.5181,0.1148,0.0028
max CLASS=6,cifar10,lira,0.5115,0.1192,0.0032
max CLASS=7,cifar10,lira,0.5178,0.1168,0.0032
max CLASS=8,cifar10,lira,0.5167,0.1252,0.0032
max CLASS=9,cifar10,lira,0.5122,0.1140,0.0068
mean Entire dataset,fmnist,lira,0.5015,0.1007,0.0010
mean CLASS=0,fmnist,lira,0.5054,0.1039,0.0009
mean CLASS=1,fmnist,lira,0.5056,0.1018,0.0008
mean CLASS=2,fmnist,lira,0.5019,0.1031,0.0011
mean CLASS=3,fmnist,lira,0.4939,0.0947,0.0005
mean CLASS=4,fmnist,lira,0.5009,0.0991,0.0010
mean CLASS=5,fmnist,lira,0.5027,0.1031,0.0006
mean CLASS=6,fmnist,lira,0.5033,0.1036,0.0012
mean CLASS=7,fmnist,lira,0.4997,0.1006,0.0010
mean CLASS=8,fmnist,lira,0.5010,0.0983,0.0012
mean CLASS=9,fmnist,lira,0.5020,0.1013,0.0010
std Entire dataset,fmnist,lira,0.0020,0.0022,0.0003
std CLASS=0,fmnist,lira,0.0060,0.0078,0.0010
std CLASS=1,fmnist,lira,0.0090,0.0083,0.0007
std CLASS=2,fmnist,lira,0.0075,0.0075,0.0010
