,attack type,shadow model,slice feature,slice value,train size,test size,Attacker advantage,Positive predictive value,AUC,fpr@0.1,fpr@0.001
0,lira,0,Entire dataset,,30000,30000,0.0057,0.6094,0.4992,0.1016,0.0013
1,lira,0,class,0,3000,3000,0.0187,0.5833,0.5041,0.1117,0.0000
2,lira,0,class,1,3000,3000,0.0137,0.8333,0.4968,0.1060,0.0017
3,lira,0,class,2,3000,3000,0.0280,0.7317,0.5090,0.0997,0.0010
4,lira,0,class,3,3000,3000,0.0257,0.8000,0.4909,0.0947,0.0013
5,lira,0,class,4,3000,3000,0.0213,0.7500,0.5043,0.1007,0.0020
6,lira,0,class,5,3000,3000,0.0167,0.6575,0.5034,0.1023,0.0007
7,lira,0,class,6,3000,3000,0.0197,0.7333,0.4998,0.1107,0.0017
8,lira,0,class,7,3000,3000,0.0243,0.8000,0.4935,0.1040,0.0013
9,lira,0,class,8,3000,3000,0.0230,0.5291,0.4934,0.1043,0.0003
10,lira,0,class,9,3000,3000,0.0193,0.8333,0.4973,0.0927,0.0017
11,lira,1,Entire dataset,,30000,30000,0.0056,0.5849,0.5019,0.1028,0.0012
12,lira,1,class,0,3000,3000,0.0253,0.8000,0.5085,0.1153,0.0017
13,lira,1,class,1,3000,3000,0.0220,0.8000,0.5097,0.1123,0.0013
14,lira,1,class,2,3000,3000,0.0187,0.6667,0.5029,0.1017,0.0010
15,lira,1,class,3,3000,3000,0.0307,0.5014,0.4872,0.0943,0.0003
16,lira,1,class,4,3000,3000,0.0227,0.5714,0.5057,0.0897,0.0010
17,lira,1,class,5,3000,3000,0.0237,0.6667,0.5108,0.1160,0.0013
18,lira,1,class,6,3000,3000,0.0217,0.8750,0.5062,0.1060,0.0023
19,lira,1,class,7,3000,3000,0.0317,0.7143,0.4874,0.0927,0.0017
20,lira,1,class,8,3000,3000,0.0153,0.5046,0.4994,0.0930,0.0000
21,lira,1,class,9,3000,3000,0.0183,0.5403,0.5031,0.1120,0.0003
22,lira,2,Entire dataset,,30000,30000,0.0061,0.6078,0.5008,0.0963,0.0012
23,lira,2,class,0,3000,3000,0.0240,0.5118,0.5038,0.0870,0.0007
24,lira,2,class,1,3000,3000,0.0303,0.7000,0.5155,0.1067,0.0003
