,dataset,attack type,AUC,fpr@0.1,fpr@0.001
mean Entire dataset,cifar10,lira,0.8670,0.5732,0.1363
mean Entire dataset,fmnist,lira,0.6406,0.2366,0.0432
mean Entire dataset,mnist,lira,0.5441,0.1388,0.0184
mean Entire dataset,svhn,lira,0.7161,0.3260,0.0933
average,average,,0.6920,0.3187,0.0728
mean Entire dataset,cifar10,lira,0.5154,0.1092,0.0013
mean Entire dataset,fmnist,lira,0.5085,0.1054,0.0012
mean Entire dataset,mnist,lira,0.5039,0.1012,0.0011
mean Entire dataset,svhn,lira,0.5077,0.1033,0.0011
average,average,,0.5089,0.1048,0.0012
mean Entire dataset,cifar10,lira,0.5007,0.1010,0.0010
mean Entire dataset,fmnist,lira,0.5015,0.1007,0.0010
mean Entire dataset,mnist,lira,0.5006,0.0995,0.0010
mean Entire dataset,svhn,lira,0.5010,0.1000,0.0010
average,average,,0.5010,0.1003,0.0010
