,Dataset,Run,0,1,2,3,4,5,6,7,8,9
0,cifar10_train,0,0.9993003498250874,0.9997000299970004,0.9992001599680064,0.9984995498649595,0.9988998899889988,0.9984,0.9995000499950005,0.9998,0.9993997599039617,0.9996999699969997
1,cifar10_train,1,0.7052412563162588,0.7766630953540469,0.5398995833778442,0.462021765959834,0.5952737062518695,0.5662580268534735,0.7083798882681565,0.7053958251280031,0.7767752059631229,0.7259957860941106
2,cifar10_train,2,0.5823345754859504,0.6385530699666825,0.411434405308831,0.325542570951586,0.4555282029326769,0.4176309699137387,0.5766497461928933,0.5785467128027681,0.6703775860469432,0.5860313581755243
3,cifar10_test,0,0.809,0.8640873015873015,0.704239917269907,0.5856854838709679,0.7456445993031359,0.6747809152872444,0.8360574541852402,0.8360160965794768,0.8602040816326532,0.8418467583497051
4,cifar10_test,1,0.6891495601173021,0.7678746327130265,0.5288207297726071,0.43115124153498874,0.5832482124616957,0.5509507557289127,0.7054017249205629,0.691125433812593,0.7551907291163688,0.7142124166239097
5,cifar10_test,2,0.5844027640671272,0.649214659685864,0.4049331963001028,0.29827688651218065,0.4553714591127739,0.3802442910249601,0.5734439834024896,0.5785785785785785,0.6518928901200369,0.5688935281837162
6,fmnist_train,0,0.9985007496251873,1.0,0.9981666666666666,0.9992499374947912,0.9972548040928375,1.0,0.9963253716385502,0.9985836874114805,1.0,0.9985829790781029
7,fmnist_train,1,0.8632570437081716,0.9833194328607172,0.8471102150537635,0.9032205195443743,0.8343964473153007,0.9640834953097271,0.7380450070323489,0.9486905836959199,0.9717711716212839,0.9593874833555259
8,fmnist_train,2,0.8083696881564064,0.9714762301918266,0.7849069431460864,0.8641701047286576,0.7773009060562709,0.933174630164938,0.6110368531602062,0.9114704901633878,0.9501234567901234,0.9345368789135562
9,fmnist_test,0,0.8819688598694123,0.9929718875502007,0.886317907444668,0.9396636993076163,0.8864758144126357,0.9855072463768115,0.7997977755308393,0.9703264094955488,0.988,0.9737373737373737
10,fmnist_test,1,0.8480635551142005,0.9813789632611978,0.8332498748122182,0.8899803536345776,0.823529411764706,0.9619868220983274,0.7013815090329437,0.9436550710436059,0.9608329201784828,0.9569138276553106
11,fmnist_test,2,0.8076545632973503,0.9748490945674044,0.7764227642276423,0.8536121673003801,0.7642276422764227,0.9289002557544758,0.5934819897084048,0.909450766947056,0.943081452404318,0.93359375
12,mnist_train,0,1.0,0.9999258325298525,0.9998321302669129,0.9999184405839654,1.0,0.9999077746011252,0.9999155191349159,0.9998404085541014,1.0,1.0
13,mnist_train,1,0.9887262325424869,0.9877460081693279,0.9571729070256626,0.973835774230706,0.9818865345181133,0.9719350073855243,0.9737903225806451,0.9761923720041404,0.9731297449458329,0.9700538358008076
14,mnist_train,2,0.9713189928297482,0.9779193835210432,0.9181757209926223,0.9169467901943101,0.9614369626287562,0.9190816710575838,0.9499580184718723,0.9570513327533022,0.9423593655196325,0.9541946308724834
15,mnist_test,0,0.9954198473282443,0.9969203695556533,0.9922630560928433,0.9930898321816387,0.9928861788617888,0.9882088714205502,0.9900367068694284,0.9931906614785992,0.994344473007712,0.9885629040278469
16,mnist_test,1,0.9843037974683545,0.9885260370697264,0.9580318379160637,0.9761194029850746,0.9877675840978594,0.9667979741136746,0.9718456725755995,0.9684005833738455,0.9841107124551511,0.9756340129288911
17,mnist_test,2,0.9690309690309691,0.9863736263736262,0.9303675048355899,0.9272369714847591,0.9724770642201834,0.9140893470790378,0.9533787323205867,0.957787481804949,0.9510056730273336,0.9610778443113773
18,svhn_train,0,0.9991919191919193,0.999206234665897,0.9993860684769776,0.9994704324801411,0.9990612846989406,0.9992732558139535,0.9994761655316919,0.9994637111190562,0.9986133122028525,0.9987118935165307
19,svhn_train,1,0.8572292191435769,0.8973553834345126,0.875291266660453,0.772547828727604,0.8571617598412172,0.8023917585188387,0.7700258397932817,0.8536388864022916,0.7803118701601782,0.804615217154675
20,svhn_train,2,0.7422639249351167,0.839578656536004,0.7974103048287026,0.5618159203980099,0.791845773088446,0.6428471149796434,0.6214429961446669,0.7611993574870605,0.5504124656278644,0.6661358207257423
21,svhn_test,0,0.9039772727272728,0.9332554971784395,0.9158923615301074,0.8459900638750887,0.9178705719374629,0.8914695945945945,0.8648648648648649,0.90845247052922,0.8564417177914111,0.8486861975234068
22,svhn_test,1,0.8122295933083358,0.8962934511234877,0.8504749618857745,0.6936502042331972,0.8280647648419429,0.7790339157245632,0.7226001511715796,0.8469464689620508,0.7192217376719221,0.7639902676399026
23,svhn_test,2,0.7320143884892086,0.8593023255813954,0.7873727553471348,0.5417426175720015,0.7452346041055719,0.6250470101541933,0.5583113456464379,0.7704671019588147,0.4660039761431412,0.6440025657472739
